Agency,Account,State,Recipient,Project, Amount ,Requested by,Requested by 2
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", NY,Tech Prep Solutions,S.H.A.R.C Community Center,"$950,000 ",Clarke,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", IL,Chicago Urban League,Chicago STEM Expansion Project for Youth,"$450,000 ",Davis (IL),
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", PA,Montgomery County Community College,The Challenger Learning Center at Montco Pottstown,"$500,000 ",Dean,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", MD,Chinese American Parent Association of Howard County (CAPA),STEM Forward,"$1,031,000 ",Elfreth,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", TX,Alief Independent School District,Alief ISDRice University Planetary and Space Exploration Education Project,"$1,031,000 ",Fletcher,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", FL,Brevard Public Schools,Space Coast Jr/Sr High School’s New Aviation Assembly and Fabrication Program,"$2,017,135 ",Haridopolos,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", CT,"Talcott Mountain Science Center for Student Involvement, Inc.",Talcott Mountain Science Center for Destination for Astrophysics & Data Science Education,"$1,031,000 ",Hayes,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", PR,Vimenti,Vimenti Next Generation STEM Learning Lab Accelerator,"$1,031,000 ",Hernandez,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", CT,Stamford Museum & Nature Center,Planetarium & Astronomy Center,"$480,000 ",Himes,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", TX,The Texas A&M Engineering Experiment Station,Texas A&M Engineering Academy at Dallas College,"$1,031,000 ",Johnson (TX),
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", TX,Texas A&M Health Science Center,Aerospace Health Education and Workforce Development,"$1,790,000 ",McCaul,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", MD,Frostburg State University,Frostburg State University Planetarium,"$1,031,000 ",McClain Delaney,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", KY,Boys & Girls Clubs of Kentuckiana,Ultimate Afterschool Exploration Program,"$300,000 ",McGarvey,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", NJ,United Community Corporation,Youth STEM Innovation and Exploration Program,"$1,000,000 ",McIver,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", NY,Research Foundation of CUNY,STEM Improvement in Schools Through Authentic Research Projects,"$1,031,000 ",Meeks,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", NY,New York Hall of Science,Join Artemis: Head to the Moon with the New York Hall of Science,"$1,031,000 ",Meng,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", NY,The Boys’ Club of New York,The Boys’ Club of New York’s STEM Programming,"$225,000 ",Meng,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", OH,Case Western Reserve University,Next Generation Microgravity Research,"$2,000,000 ",Miller (OH),
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", NY,"New York Sun Works, Inc.",STEM through Hydroponic Farming Program,"$525,000 ",Ocasio-Cortez,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", NY,Queens Borough Public Library,Design Your Habitat,"$253,000 ",Ocasio-Cortez,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", CO,Colorado Division of Fire Prevention and Control,Advancing Colorado Wildfire Preparedness and Response,"$1,031,000 ",Pettersen,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", WI,"Innovation Center Stoughton, Inc.",Innovation Center Stoughton Youth and Young Adult STEM Education project,"$500,000 ",Pocan,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", KY,Morehead State University,Morehead State University Payload Operations Center,"$7,540,000 ",Rogers (KY),
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", LA,Louisiana State University,Advancing Manufacturing in Space,"$5,000,000 ",Scalise,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", WA,Congolese Integration Network,STEM Education in South King County,"$1,031,000 ",Smith (WA),
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", CA,Livermore Valley Joint Unified School District,LVJUSD INVEST: Initiating New and Vital Enrichment and Engagement for STEM Teachers,"$329,000 ",Swalwell,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", NV,Board of Regents on behalf of the Nevada System of Higher Education,Mitigating Wildfire Smoke Impacts in Nevada,"$1,031,000 ",Titus,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", CA,The Regents of the University of California; University of California San Diego,Discover UC San Diego,"$1,031,000 ",Vargas,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", CA,Partnership for Los Angeles Schools,INVEST IN AMERICA’S FUTURE: Expand Math Excellence & STEM Access,"$600,000 ",Waters,
Department of Justice,OJP Byrne, NC,Center for Employment Opportunities,Job Training & Career Pathways for North Carolina’s Returning Citizens,"$250,000 ",Adams,
Department of Justice,OJP Byrne,NC,My Brother’s Keeper Charlotte-Mecklenburg,Youth Impact Office,"$200,000 ",Adams,
Department of Justice,OJP Byrne,NC,"The Center for Community Transitions, Inc. (CCT)",Second Chance Employment & In-Custody Behavioral Health Support,"$700,000 ",Adams,
Department of Justice,OJP Byrne,RI,Family Service of Rhode Island,Police GO TEAM Enhancement and Expansion,"$450,000 ",Amo,
Department of Justice,OJP Byrne, RI,Lincoln Police Department,Lincoln Police Department Tasers and Virtual Reality Training Project,"$303,000 ",Amo,
Department of Justice,OJP Byrne,RI,Nonviolence Institute,Victim Advocacy and Police Support Project,"$311,000 ",Amo,
Department of Justice,OJP Byrne, AZ,Arouet Foundation,Arouet Foundation’s 2026 Reentry Prosperity Model,"$1,008,000 ",Ansari,
Department of Justice,OJP Byrne, AZ,Axiom Community of Recovery (ACR),ACR Transition to Recovery and Reentry,"$580,000 ",Ansari,
Department of Justice,OJP Byrne, AZ,Valley Metro Regional Public Transportation Authority,Valley Metro Community Safety Project,"$1,000,000 ",Ansari,
Department of Justice,OJP Byrne, NE,Saunders County,Integrated Public Safety Enhancement Project,"$359,760 ",Bacon,
Department of Justice,OJP Byrne, NE,City of Omaha,Encompass Omaha: A Hospital-based Violence Intervention Program,"$526,983 ",Bacon,
Department of Justice,OJP Byrne, NE,University of Nebraska Board of Regents for the University of Nebraska at Omaha,Protecting Children from Trafficking,"$1,000,000 ",Bacon,
Department of Justice,OJP Byrne, VT,Norwich University Applied Research Institutes Ltd.,Community Response Empowerment Toolkit Development,"$500,000 ",Balint,
Department of Justice,OJP Byrne, KY,Harrodsburg Police Department,Policing Equipment and Technology Upgrades,"$96,192 ",Barr,
Department of Justice,OJP Byrne,CA,Southern California Crossroads,Community Peace and Safety Initiative,"$1,031,000 ",Barragan,
Department of Justice,OJP Byrne, MI,Eaton County Michigan,Eaton County Security Infrastructure,"$414,351 ",Barrett,
Department of Justice,OJP Byrne, MI,United Mentoring Program,Youth Mentoring: The Positive Affects of In-School Mentoring,"$750,000 ",Barrett,
Department of Justice,OJP Byrne, WA,Adams County,Public Safety Facilities Improvement Project,"$1,772,970 ",Baumgartner,
Department of Justice,OJP Byrne, OH,Bexley Police Department,Bexley Police Patrol Enhancement,"$650,000 ",Beatty,
Department of Justice,OJP Byrne, OH,"Columbus Literacy Council, Inc. (dba CLC WORKS)",Pathways to Promise: Early Intervention for Youth Success,"$600,000 ",Beatty,
Department of Justice,OJP Byrne, OH,Otterbein University,Otterbein University Co-located Mental Health and Campus Police Safety Center,"$300,000 ",Beatty,
Department of Justice,OJP Byrne, MO,Harris Stowe State University,HSSU’s Urban Policing IT,"$1,031,000 ",Bell,
Department of Justice,OJP Byrne, OK,University of Central Oklahoma,"University of Central Oklahoma, Forensic Science Institute","$283,819 ",Bice,
Department of Justice,OJP Byrne, OK,University of Oklahoma Health Sciences (OUHSC) Police Department,Oklahoma Children’s Hospital Security Modernization,"$1,030,000 ",Bice,
Department of Justice,OJP Byrne, OK,Guthrie Police Department,911 Center & Logan County Radio Rehabilitation & Modernization,"$1,407,994 ",Bice,
Department of Justice,OJP Byrne, FL,Pasco Sheriff’s Office,Pasco Sheriff’s Office Human Performance Program Equipment and Technology,"$1,000,000 ",Bilirakis,
Department of Justice,OJP Byrne, FL,Hernando County Sheriff’s Office,Digital and Biological Forensic Capabilities Enhancements,"$2,873,000 ",Bilirakis,
Department of Justice,OJP Byrne, GA,Buena Vista Police Department,"Revamp Project T.E.A.M. Police Technology, Equipment, and Patrol Fleet Upgrade","$306,000 ",Bishop (GA),
Department of Justice,OJP Byrne, GA,"The Southwest Georgia Children’s Alliance, Inc.","Improving Systems to Prevent Child Abuse, Domestic Violence in Southwest Georgia","$738,000 ",Bishop (GA),
Department of Justice,OJP Byrne,OR,Oregon CASA Network,A CASA for Every Child,"$1,031,000 ",Bonamici,
Department of Justice,OJP Byrne,OR,Multnomah County,Close Street Pretrial Monitoring Program Behavioral Health Expansion Pilot Program,"$800,000 ",Bonamici,Dexter
Department of Justice,OJP Byrne, PA,"Office of Public Safety, City of Philadelphia",Safe Streets Philly,"$1,031,000 ",Boyle,
Department of Justice,OJP Byrne, PA,Phoenix Multisport dba ‘‘The Phoenix’’,The Phoenix Criminal Legal Program,"$515,000 ",Boyle,
Department of Justice,OJP Byrne, PA,Salvation Army of Eastern Pennsylvania,The Salvation Army New Day Program Expansion Project,"$250,000 ",Boyle,
Department of Justice,OJP Byrne, PA,Temple University,Temple University Public Safety Initiative,"$1,039,000 ",Boyle,
Department of Justice,OJP Byrne, PA,City of Wilkes-Barre,City of Wilkes-Barre Police Equipment Upgrades,"$372,415 ",Bresnahan,
Department of Justice,OJP Byrne, PA,Monroe County District Attorney,Monroe County DA Opioid Crimes Section,"$1,020,379 ",Bresnahan,
Department of Justice,OJP Byrne, PA,Kingston Municipal Police Department,Kingston Municipal Police Department Equipment and Technology Upgrades,"$1,144,790 ",Bresnahan,
Department of Justice,OJP Byrne, OH,Center for Employment Opportunities (CEO),Innovation in Public Safety: Advanced Training Pathways for Formerly Incarcerated Ohioans,"$300,000 ",Brown,
Department of Justice,OJP Byrne, OH,City of Cleveland,Cleveland Public Safety Radios,"$1,031,000 ",Brown,
Department of Justice,OJP Byrne, OH,Near West Side Multi Service Corporation (d.b.a. May Dugan Center),Trauma Recovery Center,"$900,000 ",Brown,
Department of Justice,OJP Byrne, CA,Ventura County District Attorney’s Office,Ventura County District Attorney’s Office East County Family Justice Center Project,"$1,031,000 ",Brownley,
Department of Justice,OJP Byrne, CA,Ventura County Sheriff’s Forensic Services Bureau,Ventura County Sheriff’s Department DNA Automated Workflow Project,"$900,000 ",Brownley,
Department of Justice,OJP Byrne, FL,"Manatee Children’s Services, Inc.",Manatee Children’s Services,"$605,550 ",Buchanan,
Department of Justice,OJP Byrne,IL,"TASC, Inc.",Juvenile Justice System Specialized Case Management and Wrap Around Services,"$750,000 ",Budzinski,
Department of Justice,OJP Byrne, TN,Knoxville Police Department,Tennessee ICAC Child Exploitation Investigation Support Project,"$675,000 ",Burchett,
Department of Justice,OJP Byrne, TN,Knoxville Leadership Foundation,Workforce Trades Center Completion,"$750,000 ",Burchett,
Department of Justice,OJP Byrne, CA,Ventura County Sheriff’s Office,Ventura County Sheriff’s Office Unidentified and Missing Persons Forensic Genetic Genealogy Testing Initiative,"$700,000 ",Carbajal,
Department of Justice,OJP Byrne, OH,Freedom a la Cart,Workforce Development for Survivors of Human Trafficking Program,"$400,000 ",Carey,
Department of Justice,OJP Byrne, OH,United Way of Central Ohio,Youth Crime Deterrence Program,"$400,000 ",Carey,
Department of Justice,OJP Byrne, IN,City of Lawrence,City of Lawrence Public Safety Initiatives,"$1,031,000 ",Carson,
Department of Justice,OJP Byrne, IN,Marion County Sheriffs Department,Marion County Sheriff’s Department Medication Assisted Treatment Program,"$1,031,000 ",Carson,
Department of Justice,OJP Byrne,LA,Engaged Learning Strategies,‘‘School-within-a-School’’ Project,"$1,031,000 ",Carter (LA),
Department of Justice,OJP Byrne, LA,First 72+,The First 72+ Comprehensive Reentry Program,"$1,031,000 ",Carter (LA),
Department of Justice,OJP Byrne, LA,Jefferson Parish Coroner’s Office,Advanced Forensic Center Equipment Project,"$1,031,000 ",Carter (LA),
Department of Justice,OJP Byrne, LA,Manning Family Children’s,Morgan Rae Center for Hope Child Abuse Program,"$1,031,000 ",Carter (LA),
Department of Justice,OJP Byrne, LA,United Way of Southeast Louisiana,Safe Children Initiative Firearm Storage Program,"$1,031,000 ",Carter (LA),
Department of Justice,OJP Byrne, TX,Texas A&M Health Science Center,"Law Enforcement, Community, and School-Based Training to Prevent Fentanyl and Opioid Abuse","$800,000 ",Carter (TX),
Department of Justice,OJP Byrne, TX,Communities In Schools of Central Texas (CISCT),Pipeline to Success: Supporting Diversionary High School and Post-Secondary Success Among Underserved Students,"$700,000 ",Casar,
Department of Justice,OJP Byrne, TX,Excellence and Advancement Foundation,Travis County Transformation Project (TCTP),"$750,000 ",Casar,
Department of Justice,OJP Byrne,FL,"Adonai’s Second Chances, Inc.",Project I Can,"$575,000 ",Castor,
Department of Justice,OJP Byrne, TX,"Big Brothers Big Sisters of South Texas, Inc.",Mentor Recruitment Project to Prevent Juvenile Delinquency,"$410,000 ",Castro,
Department of Justice,OJP Byrne, TX,City of San Antonio,San Antonio Police Department Forensic Genealogy Project,"$1,039,000 ",Castro,
Department of Justice,OJP Byrne, TX,Young Women’s Christian Association San Antonio,Mujeres Poderosas: Healing Trauma From Victim/Survivor to Thriver Program,"$340,000 ",Castro,
Department of Justice,OJP Byrne, FL,"OIC of South Florida, Inc.","Project RESET (Reintegration, Engagement and Skills Enhancement in the Trades)","$1,031,000 ",Cherfilus-McCormick,
Department of Justice,OJP Byrne, CA,City of Sierra Madre,Sierra Madre Public Safety Improvement Project,"$1,031,000 ",Chu,
Department of Justice,OJP Byrne, CA,San Bernardino County Sheriff’s Department,San Bernardino County Sheriff’s Helicopter,"$1,031,000 ",Chu,
Department of Justice,OJP Byrne, AZ,Sahuarita Police Department,Sahuarita Police Department Radio Replacement,"$809,687 ",Ciscomani,
Department of Justice,OJP Byrne, NY,"American Council of Minority Women, Inc.",Free Legal Services for Victims of Violence,"$50,000 ",Clarke,
Department of Justice,OJP Byrne, NY,Kings Against Violence Initiative Inc.,NYS Center for Strengthening Community Violence Intervention Programs,"$677,000 ",Clarke,
Department of Justice,OJP Byrne, NY,Life of Hope,Central Hub of Hope (CHOH),"$787,000 ",Clarke,
Department of Justice,OJP Byrne, NY,The Carey Gabay Foundation,Cure Violence Mindfulness and Wellness Program,"$85,000 ",Clarke,
Department of Justice,OJP Byrne, NY,The Jersey Mann NYC Basketball Tournament Inc.,Crime and Gang Prevention Youth Diversion Program,"$39,000 ",Clarke,
Department of Justice,OJP Byrne, MO,"Board of Police Commissioners of Kansas City, Missouri",Police Cruiser Replacement,"$1,031,000 ",Cleaver,
Department of Justice,OJP Byrne, MO,"Foster Adopt Connect, Inc.",Wraparound Supports for High-Risk Youth,"$1,031,000 ",Cleaver,
Department of Justice,OJP Byrne, MO,Kansas City Area Transportation Authority,Transit Ambassador Program,"$1,031,000 ",Cleaver,
Department of Justice,OJP Byrne, MO,Mattie Rhodes Center,Community-Based Violence Intervention & Prevention Initiative,"$1,031,000 ",Cleaver,
Department of Justice,OJP Byrne, MO,Mid-America Regional Council,Automated License Plate Readers (ALPRs) expansion for law enforcement,"$1,031,000 ",Cleaver,
Department of Justice,OJP Byrne, MO,Youth Guidance,Reducing Crime through School-Based Prevention and Education Programs,"$1,031,000 ",Cleaver,
Department of Justice,OJP Byrne, SC,Sumter County Sheriff’s Office,Sumter County Public Safety Enhancement Project,"$1,031,000 ",Clyburn,
Department of Justice,OJP Byrne, TN,City of Memphis,Memphis Youth Violence Prevention Initiative,"$1,031,000 ",Cohen,
Department of Justice,OJP Byrne, TN,Shelby County District Attorney General’s Office,Shelby County District Attorney’s Victim/Witness and Data Collection Services Program,"$1,031,000 ",Cohen,
Department of Justice,OJP Byrne, OK,Cleveland County Sheriff’s Office,Cleveland County Sheriff’s Office Rapid DNA System,"$970,000 ",Cole,
Department of Justice,OJP Byrne, VA,Fairfax County Government,DNA Forensic Project,"$150,000 ",Connolly,
Department of Justice,OJP Byrne, VA,George Mason University,Implementing Evidence-Based Policing to Advance Public Safety in Northern Virginia,"$741,000 ",Connolly,
Department of Justice,OJP Byrne, CA,Santa Ana College,Santa Ana College Criminal Justice Academies,"$1,031,000 ",Correa,
Department of Justice,OJP Byrne, MN,"City of Eagan, MN",Eagan Valley Acres Firearms Range Upgrades,"$1,031,000 ",Craig,
Department of Justice,OJP Byrne, MN,Scott County,Scott County SCALE Regional Public Safety Training Facility Range Trap Replacement,"$1,031,000 ",Craig,
Department of Justice,OJP Byrne, CO,El Paso County Sheriff’s Office,El Paso County Tactical and Continued Certification Project,"$500,000 ",Crank,
Department of Justice,OJP Byrne, TX,Dallas Police Department Internet Crimes Against Children Task Force,City of Dallas Police Department Internet Crimes Against Children Task Force Project,"$675,000 ",Crockett,
Department of Justice,OJP Byrne, IL,Cook County Sheriff’s Office,Drug Overdose Prevention at the Cook County Jail,"$1,031,000 ",Davis (IL),
Department of Justice,OJP Byrne, IL,Lawndale Christian Legal Center,Residential Community Justice Center for Youth,"$1,031,000 ",Davis (IL),
Department of Justice,OJP Byrne, NC,Hertford County,Hertford County Security Program,"$386,000 ",Davis (NC),
Department of Justice,OJP Byrne, NC,Town of Ahoskie,"Town of Ahoskie, NC Emergency Public Safety Upgrades","$606,000 ",Davis (NC),
Department of Justice,OJP Byrne, PA,"Family Services of Montgomery County, PA",Montgomery County Reentry Initiative,"$307,000 ",Dean,
Department of Justice,OJP Byrne,PA,JEVS Human Services,JEVS Opportunity Youth Outreach Program (JOYOP) for Diversion and Reentry,"$189,000 ",Dean,
Department of Justice,OJP Byrne,PA,"Victim Services Center of Montgomery County, Inc.",VSC 24/7 Crisis Hotline,"$100,000 ",Dean,
Department of Justice,OJP Byrne, CO,City and County of Denver,Fentanyl Investigation and Interdiction Program,"$208,000 ",DeGette,
Department of Justice,OJP Byrne, CO,Denver Regional Mobility and Access Council,Transit to Transformation Program,"$30,000 ",DeGette,
Department of Justice,OJP Byrne, CT,City of New Haven,New Haven Police Department Upgrades,"$750,000 ",DeLauro,
Department of Justice,OJP Byrne, CT,"Havenly, Inc.",Havenly Domestic Violence Pilot,"$148,000 ",DeLauro,
Department of Justice,OJP Byrne, CT,University of New Haven,University of New Haven De-escalation Training Center,"$1,031,000 ",DeLauro,
Department of Justice,OJP Byrne, CA,City of Walnut Creek,Public Safety Body Worn Camera Equipment Upgrade,"$1,000,000 ",DeSaulnier,
Department of Justice,OJP Byrne,CA,"County of Contra Costa, District Attorney’s Office",Organized Retail Theft Prevention and Prosecution Project,"$600,000 ",DeSaulnier,
Department of Justice,OJP Byrne,CA,County of Contra Costa; District Attorney’s Office,Healing and Justice for Labor Trafficking Survivors Project,"$500,000 ",DeSaulnier,
Department of Justice,OJP Byrne, OR,City of Gresham,Enhancing Youth Violence Prevention,"$1,005,000 ",Dexter,
Department of Justice,OJP Byrne, FL,Miccosukee Tribe of Indians of Florida,Miccosukee Tribe Police Department’s Marked Police Patrol Vehicle Project,"$350,000 ",Diaz-Balart,
Department of Justice,OJP Byrne, FL,City of Miami Springs,City of Miami Springs Police Department Marked Fleet Modernization,"$500,000 ",Diaz-Balart,
Department of Justice,OJP Byrne, FL,City of Hialeah Gardens,City of Hialeah Gardens High-Priority Marked Police Patrol Vehicles,"$2,004,000 ",Diaz-Balart,
Department of Justice,OJP Byrne, FL,Collier County Sheriff’s Office,Collier County Sheriff’s Office Marked Vehicle Expansion Project,"$2,504,543 ",Diaz-Balart,
Department of Justice,OJP Byrne, TX,"City of Austin, Texas",Austin Community Violence Intervention,"$1,031,000 ",Doggett,
Department of Justice,OJP Byrne, MT,City of Great Falls/Great Falls Police Department,Crime Scene Laser Scanner and Crime Scene Processing Equipment,"$128,686 ",Downing,
Department of Justice,OJP Byrne,MT,Yellowstone County,Yellowstone County Short-term Detention Facility,"$500,000 ",Downing,
Department of Justice,OJP Byrne, MT,Toole County,Toole County Public Safety Detention Facility,"$1,500,000 ",Downing,
Department of Justice,OJP Byrne, NC,Asheville Police Department,Asheville Police Department Real-Time Intelligence Center,"$1,141,256 ",Edwards,
Department of Justice,OJP Byrne, MD,"Anne Arundel County Community Action Agency, Inc.",Reentry and Rehabilitation Initiative,"$1,031,000 ",Elfreth,
Department of Justice,OJP Byrne, MD,"Sheppard Pratt Health Systems, Inc.",Workplace Violence Prevention Training Program,"$1,031,000 ",Elfreth,
Department of Justice,OJP Byrne, MD,YWCA of Annapolis & Anne Arundel County,Rapid Rehousing & Abuser Intervention for Victims of Domestic Violence,"$697,000 ",Elfreth,
Department of Justice,OJP Byrne, TX,"City of Palestine, TX",City of Palestine Police Department,"$47,686 ",Ellzey,
Department of Justice,OJP Byrne, TX,Big Brothers Big Sisters Lone Star North Texas,Big Brothers Big Sisters Mentoring,"$300,000 ",Ellzey,
Department of Justice,OJP Byrne, TX,The Heights Ellis County Family Resources,Generator/Equipment for The Heights Ellis County Family Resources,"$557,400 ",Ellzey,
Department of Justice,OJP Byrne, TX,City of Hillsboro,Hillsboro Department of Public Safety Law Enforcement Equipment,"$2,051,019 ",Ellzey,
Department of Justice,OJP Byrne, TX,Children’s Health,Improving Neonatal and Pediatric Specialty Transport Services for Children and Families in Rural Texas,"$794,000 ",Ellzey, Johnson (TX)
Department of Justice,OJP Byrne, TX,City of Dallas,City of Dallas Weed & Seed,"$2,000,000 ",Ellzey, Van Duyne
Department of Justice,OJP Byrne, MN,Sherburne County,Sherburne County Jail Vehicle Intake Sallyport Replacement,"$2,535,071 ",Emmer,
Department of Justice,OJP Byrne, NY,"Police Athletic League, Inc.",Crime Prevention Through Youth Development Program,"$1,031,000 ",Espaillat,
Department of Justice,OJP Byrne, NY,WE ALL REALLY MATTER,W.A.R.M Services for Domestic Violence Crime Victims,"$1,031,000 ",Espaillat,
Department of Justice,OJP Byrne, CO,Town of Firestone,Firestone Police Department’s Advancing Public Safety Through Technology Initiative,"$75,000 ",Evans (CO),
Department of Justice,OJP Byrne, CO,City of Thornton,Thornton Crime Lab Enhancements,"$420,000 ",Evans (CO),
Department of Justice,OJP Byrne, CO,From Silenced To Saved,Expansion for Justice and Freedom Program for Victims of Commercial Sexual Exploitation,"$600,000 ",Evans (CO),
Department of Justice,OJP Byrne, PA,EMIR–Every Murder Is Real,Healing Our Community,"$1,031,000 ",Evans (PA),
Department of Justice,OJP Byrne, PA,Temple University,Buildout of the Temple University Public Health Simulation Center in Philadelphia,"$1,031,000 ",Evans (PA),
Department of Justice,OJP Byrne, AL,City of Mobile,Mobile Command Center and Crime Scene and Evidence Recovery Vehicle Project,"$1,031,000 ",Figures,
Department of Justice,OJP Byrne, AL,Conecuh County Commission,Conecuh County Law Enforcement Enhancement,"$202,000 ",Figures,
Department of Justice,OJP Byrne, PA,Bucks County,Bucks County Public Safety Initiative,"$2,100,000 ",Fitzpatrick,
Department of Justice,OJP Byrne, TN,Polk County Sheriff’s Office,Polk County Sheriff Patrol Vehicles for Rough Terrain,"$750,000 ",Fleischmann,
Department of Justice,OJP Byrne, TN,Children’s Hospital at Erlanger,Erlanger Pediatric Abuse and Advocacy Resource Center,"$1,500,000 ",Fleischmann,
Department of Justice,OJP Byrne, TN,Hamilton County Sheriff’s Office,Hamilton County Sheriff’s Office Radios,"$3,000,000 ",Fleischmann,
Department of Justice,OJP Byrne, TX,HOUSTON FORENSIC SCIENCE CENTER,Optimization of Legacy Drug Testing,"$1,031,000 ",Fletcher,
Department of Justice,OJP Byrne, TX,Houston Police Department,City of Houston Police Department Crisis Diversion Program,"$1,031,000 ",Fletcher,
Department of Justice,OJP Byrne, NE,CEDARS Youth Services,Detention Alternative Youth Shelter Enhancements,"$500,000 ",Flood,
Department of Justice,OJP Byrne, NE,"Lancaster County, Nebraska",Lancaster County Sheriff’s Office Body Worn Cameras,"$600,000 ",Flood,
Department of Justice,OJP Byrne, IL,Kane County Coroner’s Office,"Equipping the Kane County Forensic Laboratory in Kane County, Illinois","$1,031,000 ",Foster,
Department of Justice,OJP Byrne, SC,City of Hartsville,City of Hartsville Police Department Equipment and Vehicles,"$360,106 ",Fry,
Department of Justice,OJP Byrne, SC,Marlboro County Sheriff’s Office,Marlboro County Sheriff’s Office Technology and Equipment Upgrade Project,"$868,040 ",Fry,
Department of Justice,OJP Byrne, NY,Suffolk County Police Department,Suffolk County Police Department Emergency Service Equipment Project,"$2,100,000 ",Garbarino,
Department of Justice,OJP Byrne, CA,City of Lakewood CA,LPR Security Cameras,"$1,031,000 ",Garcia (CA),
Department of Justice,OJP Byrne, CA,City of Long Beach,DNA Lab,"$1,031,000 ",Garcia (CA),
Department of Justice,OJP Byrne, IL,City of Elmhurst,Elmhurst Police Technology Enhancements,"$750,000 ",Garcia (IL),
Department of Justice,OJP Byrne, IL,Village of Brookfield,Brookfield Police Technology Updates,"$623,000 ",Garcia (IL),
Department of Justice,OJP Byrne, TX,City of Houston Police Department,Fulton Corridor Revitalization Project,"$1,000,000 ",Garcia (TX),
Department of Justice,OJP Byrne, FL,Miami Dade Sheriff’s Office,Miami Dade Sheriff’s Office Vehicles Project,"$2,100,000 ",Gimenez,
Department of Justice,OJP Byrne, ME,Maine Department of Public Safety,Central and Western Maine Regional Law Enforcement Equipment Modernization,"$1,004,000 ",Golden,
Department of Justice,OJP Byrne, ME,Maine Department of Public Safety,Northern Maine Regional Law Enforcement Equipment Modernization,"$1,031,000 ",Golden,
Department of Justice,OJP Byrne, ME,Maine Department of Public Safety,Northeastern Maine Regional Law Enforcement Equipment,"$982,000 ",Golden,
Department of Justice,OJP Byrne, NY,"Avenues for Justice, Inc.",Avenues for Justice Court Advocacy and HIRE Up Program,"$250,000 ",Goldman,
Department of Justice,OJP Byrne, NY,Grand Street Settlement,Grand Street Settlement Justice Mentoring Initiative,"$250,000 ",Goldman,
Department of Justice,OJP Byrne, NY,Kings County District Attorney,Kings County District Attorney Support Outreach and Assistance Response,"$354,000 ",Goldman,
Department of Justice,OJP Byrne, NY,New York City Housing Authority,First Houses Security Camera System,"$1,031,000 ",Goldman,
Department of Justice,OJP Byrne, NY,New York City Housing Authority,Wyckoff Gardens Security Camera System,"$1,039,000 ",Goldman,
Department of Justice,OJP Byrne, NY,Research Foundation of the City University of New York on behalf of Borough of Manhattan Community College,Research Foundation of the City University of New York BMCC Project Impact,"$357,000 ",Goldman,
Department of Justice,OJP Byrne, CA,Chrysalis Center,Recidivism Reduction and Crime Prevention Through Employment,"$1,031,000 ",Gomez,
Department of Justice,OJP Byrne, CA,Los Angeles Center for Law and Justice,Legal Services for Crime Prevention and Family Stability,"$1,031,000 ",Gomez,
Department of Justice,OJP Byrne, TX,Bexar County Sheriff’s Office,Law Enforcement and Detention Intelligence Network (LEAD IN),"$2,602,344 ",Gonzales, Tony (TX)
Department of Justice,OJP Byrne, TX,Uvalde Consolidated Independent School District (UCISD) Police Department,Uvalde Consolidated Independent School District (UCISD) Law Enforcement and School Security Enhancements,"$4,200,000 ",Gonzales, Tony (TX)
Department of Justice,OJP Byrne, TX,Socorro Police Department,Socorro Police Department Radio and Equipment Enhancements,"$4,200,000 ",Gonzales, Tony (TX)
Department of Justice,OJP Byrne, NJ,Hackensack Meridian Health Inc.,Community Health Worker Violence Intervention Program,"$1,028,000 ",Gottheimer,
Department of Justice,OJP Byrne, NJ,Women’s Rights Information Center,Wellness & Trauma Amelioration Program,"$465,000 ",Gottheimer,
Department of Justice,OJP Byrne, TX,City of Houston Police Department,Strengthening Neighborhoods and Building Trust within Houston’s Homeless Communities,"$1,031,000 ",Green (TX),
