Agency,Account,Project Name,State, Recipient,Amount,Requested by,Requested by 2,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,Marion Lake, KS, U.S. Army Corps of Engineers,"$8,030,000.00 ",Moran,,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,Tuttle Creek Lake, KS, U.S. Army Corps of Engineers,"$1,826,000.00 ",Moran,,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,Wilson Lake, KS, U.S. Army Corps of Engineers,"$3,505,000.00 ",Moran,,,,,,,,,,,,,,
Department of Energy,Energy Projects,Kansas Hydrogen Reserve Development, KS, KU Center for Research,"$6,560,000.00 ",Moran,,,,,,,,,,,,,,
Department of Energy,Energy Projects,Kansas State University Research Reactor, KS, Kansas State University,"$5,000,000.00 ",Moran,,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations,Houma Navigation Canal, LA, U.S. Army Corps of Engineers,"$1,650,000.00 ",Cassidy, Kennedy,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations,Lake Pontchartrain Storm Surge Reduction Project, LA, U.S. Army Corps of Engineers,"$500,000.00 ",Cassidy, Kennedy,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations,St. Tammany Parish Flood Risk Management, LA, U.S. Army Corps of Engineers,"$3,250,000.00 ",Cassidy, Kennedy,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations,South Central Coast, LA, U.S. Army Corps of Engineers,"$1,000,000.00 ",Cassidy, Kennedy,,,,,,,,,,,,,
Army Corps of Engineers ,Mississippi River and Tributaries/Construction,Morganza to the Gulf, LA, U.S. Army Corps of Engineers,"$131,500,000.00 ",Cassidy, Kennedy,,,,,,,,,,,,,
Army Corps of Engineers ,Mississippi River and Tributaries/Construction,Upper Barataria Basin, LA, U.S. Army Corps of Engineers,"$23,000,000.00 ",Cassidy, Kennedy,,,,,,,,,,,,,
Army Corps of Engineers ,Mississippi River and Tributaries/Investigations,Lower Mississippi River Comprehensive Study, LA, U.S. Army Corps of Engineers,"$5,000,000.00 ",Cassidy, Kennedy,,,,,,,,,,,,,
Army Corps of Engineers ,Mississippi River and Tributaries/Operation and Maintenance,Atchafalaya Basin, LA, U.S. Army Corps of Engineers,"$4,770,000.00 ",Kennedy,,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,Calcasieu River and Pass, LA, U.S. Army Corps of Engineers,"$1,660,000.00 ",Cassidy,,,,,,,,,,,,,,
Department of Energy,Energy Projects,Grambling Community Grid and Infrastructure Improvement, LA, Grambling University,"$1,500,000.00 ",Kennedy,,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,Barre Falls Dam, MA, U.S. Army Corps of Engineers,"$200,000.00 ",Markey, Warren,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,Knightville Dam, MA, U.S. Army Corps of Engineers,"$1,450,000.00 ",Markey, Warren,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,Tully Lake, MA, U.S. Army Corps of Engineers,"$1,426,000.00 ",Markey, Warren,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,West Hill Dam, MA, U.S. Army Corps of Engineers,"$160,000.00 ",Markey, Warren,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,Northeast River, MD, U.S. Army Corps of Engineers,"$3,200,000.00 ",Van Hollen,,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,Slaughter Creek, MD, U.S. Army Corps of Engineers,"$4,785,000.00 ",Van Hollen,,,,,,,,,,,,,,
Department of Energy,Energy Projects,Island Institute—Grid Resilience and Energy Innovation Toolkit, ME, Island Institute,"$1,199,000.00 ",King,,,,,,,,,,,,,,
Army Corps of Engineers ,Construction/Section 1135,Wild Rice River, MN, U.S. Army Corps of Engineers,"$50,000.00 ",Klobuchar, Smith,,,,,,,,,,,,,
