Agency,Account,State,Recipient,Project,Amount,Requested by,Requested by 2
Department of Transportation,"Transportation Planning, Research, and Development",KS,Salina Airport Authority,Salina Airport Advanced Aviation & Engineering Research Operations.,"$1,000,000.00 ",Moran,
Department of Transportation,"Transportation Planning, Research, and Development",KY,Elizabethtown Regional Airport (EKX),Runway Reconfiguration Study,"$250,000.00 ",McConnell,
Department of Transportation,"Transportation Planning, Research, and Development",MS,Lee County,Tupelo VHF Omnidirectional Range Relocation.,"$3,000,000.00 ",Hyde-Smith,
Department of Transportation,"Transportation Planning, Research, and Development",MS,Greene County Board of Supervisors,Airport Planning and Development ...,"$500,000.00 ",Hyde-Smith, Wicker
Department of Transportation,"Transportation Planning, Research, and Development",NJ,"East Orange, New Jersey",Freeway Drive Overbuild Planning Project.,"$3,397,000.00 ",Booker,
Department of Transportation,"Transportation Planning, Research, and Development",WA,Puget Sound Regional Council,"Regional Mobility Forecast: Connections to Transportation, Housing and Jobs for the Puget Sound.","$500,000.00 ",Cantwell, Murray
Department of Transportation,"Transportation Planning, Research, and Development",WA,Pacific NorthWest Economic Region,Foundation. Build Northwest Export Accelerator ..,"$1,000,000.00 ",Cantwell, Murray
Department of Transportation,Grants-in-Aid for Airports,AK,Wasilla Airport (IYS),Runway Improvements,"$3,000,000.00 ",Murkowski,
Department of Transportation,Grants-in-Aid for Airports,AL,Perry County Airport/Vaiden Field (A08).,Airport Improvements,"$400,000.00 ",Britt,
Department of Transportation,Grants-in-Aid for Airports,AL,Evergreen Airport (GZH),Infrastructure Improvements,"$1,000,000.00 ",Britt,
Department of Transportation,Grants-in-Aid for Airports,AL,Enterprise Airport (EDN),Runway Extension and Refurbishment.,"$2,355,000.00 ",Britt,
Department of Transportation,Grants-in-Aid for Airports,AL,Mobile Airport (MOB),Airfield Tarmac Improvements,"$3,000,000.00 ",Britt,
Department of Transportation,Grants-in-Aid for Airports,AL,Chilton County Airport (02A),Runway Extension,"$3,850,000.00 ",Britt,
Department of Transportation,Grants-in-Aid for Airports,AL,HL Sonny Callahan Airport (CQF),Airport Improvements,"$500,000.00 ",Britt,
Department of Transportation,Grants-in-Aid for Airports,AL,Gulf Shores International Airport (GUF).,Airport Safety Improvements,"$150,000.00 ",Britt,
Department of Transportation,Grants-in-Aid for Airports,AL,Montgomery Regional Airport (MGM),Runway Rehabilitation,"$1,145,000.00 ",Britt, Tuberville
Department of Transportation,Grants-in-Aid for Airports,AL,Bessemer Airport (EKY),Aircraft Ramp and Apron Project,"$4,000,000.00 ",Britt, Tuberville
Department of Transportation,Grants-in-Aid for Airports,AR,Fort Smith Regional Airport (FSM) ....,Inclement Weather Storage Building,"$4,100,000.00 ",Boozman,
Department of Transportation,Grants-in-Aid for Airports,HI,Molokai Airport (MKK),Runway and Taxiway Reliability Project.,"$1,000,000.00 ",Hirono, Schatz
Department of Transportation,Grants-in-Aid for Airports,IL,MidAmerica St. Louis Airport (BLV) ..,Federal Inspection Area Upgrades ....,"$4,000,000.00 ",Duckworth,
Department of Transportation,Grants-in-Aid for Airports,KS,Miami County (Paola) Airport (K81),Runway Extension,"$1,800,000.00 ",Moran,
Department of Transportation,Grants-in-Aid for Airports,KS,Ottawa Municipal Airport (OWI),Taxiway Reconstruction,"$2,613,000.00 ",Moran,
Department of Transportation,Grants-in-Aid for Airports,KS,Freeman Field Airport (3JC),Runway Rehabilitation,"$4,038,000.00 ",Moran,
Department of Transportation,Grants-in-Aid for Airports,KS,Topeka Regional Airport/Forbes Field (FOE).,North Apron Rehabilitation,"$5,986,000.00 ",Moran,
Department of Transportation,Grants-in-Aid for Airports,KS,Kearny County Airport (36K),Runway Expansion,"$11,250,000.00 ",Moran,
Department of Transportation,Grants-in-Aid for Airports,KY,Barkley Regional Airport (PAH),Airfield Lighting Rehabilitation,"$3,100,000.00 ",McConnell,
Department of Transportation,Grants-in-Aid for Airports,KY,Blue Grass Airport (LEX),Air Traffic Control Tower Relocation Enabling Projects.,"$5,400,000.00 ",McConnell,
Department of Transportation,Grants-in-Aid for Airports,KY,Cincinnati-Northern Kentucky International Airport (CVG).,Taxiway Reconstruction,"$7,500,000.00 ",McConnell,
Department of Transportation,Grants-in-Aid for Airports,KY,Elizabethtown Regional Airport (EKX),Runway Reconfiguration,"$9,000,000.00 ",McConnell,
Department of Transportation,Grants-in-Aid for Airports,KY,Louisville Muhammad Ali Inter-,national Airport (SDF). Federal Inspection Service Facility ...,"$9,600,000.00 ",McConnell,
Department of Transportation,Grants-in-Aid for Airports,LA,Chennault International Airport (CWF).,Hangar and Apron Development Project.,"$1,700,000.00 ",Cassidy, Kennedy
Department of Transportation,Grants-in-Aid for Airports,LA,Acadiana Regional Airport (ARA),East Side Development,"$6,600,000.00 ",Kennedy,
Department of Transportation,Grants-in-Aid for Airports,MI,Chippewa County International Airport (CIU).,Airport Fire Station Improvement,"$750,000.00 ",Peters,
Department of Transportation,Grants-in-Aid for Airports,MI,Gerald R. Ford International Airport (GRR).,Federal Inspection Station,"$800,000.00 ",Peters, Slotkin
Department of Transportation,Grants-in-Aid for Airports,MS,John Bell Williams Airport (JVW),Hinds Community College Aviation Training Expansion.,"$1,993,000.00 ",Hyde-Smith,
Department of Transportation,Grants-in-Aid for Airports,MS,Brookhaven Lincoln County Airport (1R7).,Fixed Base Operator Facility,"$2,500,000.00 ",Hyde-Smith,
Department of Transportation,Grants-in-Aid for Airports,MS,Golden Triangle Regional Airport,(GTR). Terminal Baggage Claim Expansion,"$1,000,000.00 ",Hyde-Smith, Wicker
Department of Transportation,Grants-in-Aid for Airports,MS,Gulfport-Biloxi Regional Airport (GPT),Passenger Boarding Bridge Replacement.,"$1,000,000.00 ",Hyde-Smith, Wicker
Department of Transportation,Grants-in-Aid for Airports,MS,Meridian Regional Airport (MEI),Terminal Building,"$1,000,000.00 ",Hyde-Smith, Wicker
Department of Transportation,Grants-in-Aid for Airports,MT,Bozeman Yellowstone International Airport (BZN).,Apron Construction,"$4,000,000.00 ",Sheehy,
Department of Transportation,Grants-in-Aid for Airports,NE,Brenner Field Airport (FNB),Taxiway Relocation,"$600,000.00 ",Fischer,
Department of Transportation,Grants-in-Aid for Airports,NE,Nebraska City Municipal Airport (AFK).,Airport Improvements,"$3,440,000.00 ",Fischer,
Department of Transportation,Grants-in-Aid for Airports,NE,Hastings Municipal Airport (HSI),Electrical Improvements,"$4,000,000.00 ",Fischer,
Department of Transportation,Grants-in-Aid for Airports,NE,Blair Executive Airport (BTA),Runway Improvements,"$5,000,000.00 ",Fischer,
Department of Transportation,Grants-in-Aid for Airports,NE,Alliance Municipal Airport (AIA),Airport Improvements,"$6,000,000.00 ",Fischer,
Department of Transportation,Grants-in-Aid for Airports,NM,Raton Municipal Airport/Crews Field (RTN).,Apron Reconstruction,"$2,073,000.00 ",Heinrich,
Department of Transportation,Grants-in-Aid for Airports,NM,Angel Fire Airport (AXX),Snow Removal Equipment,"$412,000.00 ",Lujan,
Department of Transportation,Grants-in-Aid for Airports,OK,OKC Will Rogers International Airport (OKC).,Rehabilitation of Terminal Access Road.,"$5,000,000.00 ",Mullin,
Department of Transportation,Grants-in-Aid for Airports,OK,Ponca City Regional Airport (PNC) ...,Airport Terminal,"$7,800,000.00 ",Mullin,
Department of Transportation,Grants-in-Aid for Airports,PA,Johnstown-Cambria County Airport (JST).,Hangar Site,"$1,984,000.00 ",McCormick,
Department of Transportation,Grants-in-Aid for Airports,PA,DuBois Regional Airport (DUJ),Pavement Rehabilitation and Reconstruction.,"$4,190,000.00 ",McCormick,
Department of Transportation,Grants-in-Aid for Airports,PA,Lancaster Airport (LNS),Airport Improvements,"$5,000,000.00 ",McCormick,
Department of Transportation,Grants-in-Aid for Airports,SC,Columbia Metropolitan Airport (CAE),Improvements Project,"$2,239,000.00 ",Graham,
Department of Transportation,Grants-in-Aid for Airports,SC,Greenville-Spartanburg Airport (GSP),Rehabilitation Project,"$25,000,000.00 ",Graham,
Department of Transportation,Grants-in-Aid for Airports,SD,Rapid City Regional Airport (RAP) ....,Airline Concourse Project,"$20,000,000.00 ",Rounds, Thune
Department of Transportation,Grants-in-Aid for Airports,SD,Sioux Falls Regional Airport Authority (FSD).,Concourse Expansion Project,"$30,000,000.00 ",Rounds, Thune
Department of Transportation,Grants-in-Aid for Airports,UT,Provo Airport (PVU),Airport Improvements,"$3,500,000.00 ",Curtis,
Department of Transportation,Grants-in-Aid for Airports,WV,Greenbrier County Airport (LWB),Terminal Renovation,"$8,000,000.00 ",Capito,
Department of Transportation,Grants-in-Aid for Airports,WV,Yeager Airport (CRW),Terminal Modernization Project,"$25,000,000.00 ",Capito, Justice
Department of Transportation,Highway Infrastructure Programs,AK,AK,Marydale Avenue Improvements,"$2,387,000.00 ",Murkowski,
Department of Transportation,Highway Infrastructure Programs,AK,AK,Fairbanks Road Reconstruction,"$5,000,000.00 ",Murkowski,
Department of Transportation,Highway Infrastructure Programs,AL,AL,Lawrence County Bridge Study,"$100,000.00 ",Britt,
Department of Transportation,Highway Infrastructure Programs,AL,AL,Cleburne County Bridge Replacement,"$1,000,000.00 ",Britt,
Department of Transportation,Highway Infrastructure Programs,AL,AL,Hale County Road 21 Project,"$1,000,000.00 ",Britt,
Department of Transportation,Highway Infrastructure Programs,AL,AL,"Mooresville Road Widening, Planning, and Design.","$1,000,000.00 ",Britt,
Department of Transportation,Highway Infrastructure Programs,AL,AL,Depot Street Bridge Replacement,"$1,020,000.00 ",Britt,
Department of Transportation,Highway Infrastructure Programs,AL,AL,City of Southside State Highway 77 North Coosa River Bridge Project.,"$2,000,000.00 ",Britt,
Department of Transportation,Highway Infrastructure Programs,AL,AL,CR 64 Improvements,"$2,000,000.00 ",Britt,
Department of Transportation,Highway Infrastructure Programs,AL,AL,Sparkman Drive Bridge,"$2,000,000.00 ",Britt,
Department of Transportation,Highway Infrastructure Programs,AL,AL,Deerfoot Parkway Extension,"$4,000,000.00 ",Britt,
Department of Transportation,Highway Infrastructure Programs,AL,AL,Boll Weevil Circle Project,"$15,680,000.00 ",Britt,
Department of Transportation,Highway Infrastructure Programs,AL,AL,Swayback Bridge,"$2,000,000.00 ",Britt,
Department of Transportation,Highway Infrastructure Programs,AL,AL,County Road 9 Project,"$1,000,000.00 ",Britt,
Department of Transportation,Highway Infrastructure Programs,AR,AR,North Little Rock Main Street Viaduct Bridge.,"$2,000,000.00 ",Boozman,
Department of Transportation,Highway Infrastructure Programs,AR,AR,I–49,"$15,800,000.00 ",Boozman,
Department of Transportation,Highway Infrastructure Programs,AZ,AZ,Duncan Main St. and High St. Improvements.,"$1,900,000.00 ",Gallego, Kelly
Department of Transportation,Highway Infrastructure Programs,AZ,AZ,Douglas Commercial Land Port of Entry Connector Road.,"$20,000,000.00 ",Gallego, Kelly
Department of Transportation,Highway Infrastructure Programs,CA,CA,Tenderloin Neighborhood Pedestrian Safety Signal Upgrades.,"$1,500,000.00 ",Padilla,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Oakland Ferry Terminal Modernization Project.,"$1,980,000.00 ",Padilla,
Department of Transportation,Highway Infrastructure Programs,CA,CA,Grangeville Boulevard Grade Separation Project.,"$2,000,000.00 ",Padilla,
Department of Transportation,Highway Infrastructure Programs,CO,CO,City of Federal Heights—North Pecos Street Culvert Replacement.,"$1,250,000.00 ",Bennet, Hickenlooper
Department of Transportation,Highway Infrastructure Programs,CO,CO,Mesa County E Road Improvements,"$1,500,000.00 ",Bennet, Hickenlooper
Department of Transportation,Highway Infrastructure Programs,CO,CO,"Town of Parachute—US 6 / 1st Street Safety Enhancements, Repairs, and Revitalization.","$3,000,000.00 ",Bennet, Hickenlooper
Department of Transportation,Highway Infrastructure Programs,CT,CT,Maple Avenue in Hartford,"$1,000,000.00 ",Blumenthal, Murphy
Department of Transportation,Highway Infrastructure Programs,CT,CT,Washington Boulevard in Stamford ..,"$2,500,000.00 ",Blumenthal, Murphy
Department of Transportation,Highway Infrastructure Programs,DE,DE,Washington Street Separated Bike Lane.,"$2,000,000.00 ",Blunt Rochester,
Department of Transportation,Highway Infrastructure Programs,DE,DE,Georgetown to Lewes Trail—US 9 Pedestrian Bridge and Approaches.,"$1,400,000.00 ",Blunt Rochester, Coons
Department of Transportation,Highway Infrastructure Programs,GA,GA,City of Riverdale—Sidewalk Connectivity Improvements.,"$1,000,000.00 ",Ossoff,
Department of Transportation,Highway Infrastructure Programs,GA,GA,City of Atlanta—Peachtree Street Streetscape.,"$1,200,000.00 ",Ossoff,
Department of Transportation,Highway Infrastructure Programs,GA,GA,City of Stone Mountain—Main and Mimosa Intersection Improvement.,"$1,781,000.00 ",Ossoff,
Department of Transportation,Highway Infrastructure Programs,GA,GA,City of Clarkston—Clarkston Greenway Trail Phase I.,"$2,000,000.00 ",Ossoff,
Department of Transportation,Highway Infrastructure Programs,GA,GA,City of Atlanta—Beltline Southside Trail Pedestrian Bridge Over Interstate 20.,"$2,000,000.00 ",Ossoff, Warnock
Department of Transportation,Highway Infrastructure Programs,GA,GA,Factory Shoals Pedestrian Bridge Over I–20.,"$2,000,000.00 ",Warnock,
Department of Transportation,Highway Infrastructure Programs,HI,HI,Waimea to Kekaha Shared Use Path,"$2,300,000.00 ",Hirono, Schatz
Department of Transportation,Highway Infrastructure Programs,HI,HI,North South Collector Road Shared Use Path.,"$2,500,000.00 ",Hirono, Schatz
Department of Transportation,Highway Infrastructure Programs,HI,HI,Kamehameha Highway Shared Use Path.,"$6,980,000.00 ",Hirono, Schatz
Department of Transportation,Highway Infrastructure Programs,HI,HI,Daniel K. Inouye Highway Extension,"$7,250,000.00 ",Hirono, Schatz
Department of Transportation,Highway Infrastructure Programs,IL,IL,Sycamore Street Bridge Replacement,"$1,500,000.00 ",Duckworth,
Department of Transportation,Highway Infrastructure Programs,IL,IL,Town of Normal—Trail Extension,"$1,900,000.00 ",Durbin,
Department of Transportation,Highway Infrastructure Programs,KS,KS,Massoni Bridge Replacement,"$2,376,000.00 ",Moran,
Department of Transportation,Highway Infrastructure Programs,KS,KS,Arkansas River Crossing and 95th Street.,"$3,000,000.00 ",Moran,
Department of Transportation,Highway Infrastructure Programs,KS,KS,Buhler Road Bridge and Roadway Improvements.,"$5,962,000.00 ",Moran,
Department of Transportation,Highway Infrastructure Programs,KS,KS,235th Street Road Improvement,"$6,200,000.00 ",Moran,
Department of Transportation,Highway Infrastructure Programs,KY,KY,I–69 Ohio River Crossing,"$10,000,000.00 ",McConnell,
Department of Transportation,Highway Infrastructure Programs,KY,KY,Hal Rogers Parkway Improvement ....,"$20,000,000.00 ",McConnell,
Department of Transportation,Highway Infrastructure Programs,LA,LA,Burbank Drive Safety Improvements,"$2,000,000.00 ",Cassidy,
Department of Transportation,Highway Infrastructure Programs,LA,LA,Livingston Parish Browns Road Improvement Project.,"$5,000,000.00 ",Cassidy,
Department of Transportation,Highway Infrastructure Programs,LA,LA,Johnston Street Safety Mitigation and Enhancements.,"$7,500,000.00 ",Cassidy,
Department of Transportation,Highway Infrastructure Programs,LA,LA,Ascension Parish Airline Highway Raising Project.,"$5,000,000.00 ",Cassidy, Kennedy
Department of Transportation,Highway Infrastructure Programs,LA,LA,Tangipahoa Parish Airport Road and Highway 3158 Roundabout Project.,"$5,000,000.00 ",Cassidy, Kennedy
Department of Transportation,Highway Infrastructure Programs,LA,LA,US 190 Widening Project,"$5,000,000.00 ",Cassidy, Kennedy
Department of Transportation,Highway Infrastructure Programs,LA,LA,Topsy Bel Road Bridge Replacement,"$3,000,000.00 ",Kennedy,
Department of Transportation,Highway Infrastructure Programs,LA,LA,Millhaven Interchange Mega-Project,"$7,000,000.00 ",Kennedy,
Department of Transportation,Highway Infrastructure Programs,LA,LA,St. Bernard Transportation Corridor,"$10,000,000.00 ",Kennedy,
Department of Transportation,Highway Infrastructure Programs,MD,MD,Town of Easton—Rails To Trails Expansion.,"$411,000.00 ",Alsobrooks, Van Hollen
Department of Transportation,Highway Infrastructure Programs,MD,MD,Cheverly MD 201 Bike Trail,"$650,000.00 ",Alsobrooks, Van Hollen
Department of Transportation,Highway Infrastructure Programs,MD,MD,Thompson Creek Connector Road & Trail Extension.,"$1,416,000.00 ",Alsobrooks, Van Hollen
Department of Transportation,Highway Infrastructure Programs,MD,MD,Sidewalks for All: The Downtown Frederick Streetscape Project.,"$2,478,000.00 ",Alsobrooks, Van Hollen
Department of Transportation,Highway Infrastructure Programs,MD,MD,Revitalize Hanover Street: Bridging Futures Transforming South Baltimore Neighborhoods.,"$500,000.00 ",Van Hollen,
Department of Transportation,Highway Infrastructure Programs,MD,MD,Baltimore Regional Trail Hub,"$3,000,000.00 ",Van Hollen,
Department of Transportation,Highway Infrastructure Programs,ME,ME,Jackman US Route 201 Rehabilitation.,"$2,450,000.00 ",Collins, King
Department of Transportation,Highway Infrastructure Programs,ME,ME,Androscoggin State Route 4 Safety Improvements.,"$5,000,000.00 ",Collins, King
Department of Transportation,Highway Infrastructure Programs,ME,ME,Bucksport Main Street Safety Improvements.,"$7,200,000.00 ",Collins, King
Department of Transportation,Highway Infrastructure Programs,ME,ME,Route 26–100 Roundabout Construction.,"$9,600,000.00 ",Collins, King
Department of Transportation,Highway Infrastructure Programs,ME,ME,Madrid to Rangeley State Route 4 Rehabilitation.,"$10,000,000.00 ",Collins, King
Department of Transportation,Highway Infrastructure Programs,ME,ME,Deer Isle State Route 15 Causeway Improvements.,"$12,000,000.00 ",Collins, King
Department of Transportation,Highway Infrastructure Programs,MI,MI,Reconstruction of Mound Road from 8 Mile to I–696.,"$750,000.00 ",Peters,
Department of Transportation,Highway Infrastructure Programs,MI,MI,Saginaw Road Bridge Reconstruction Project.,"$955,000.00 ",Peters,
Department of Transportation,Highway Infrastructure Programs,MI,MI,Red Run Park Bridge Installation Project.,"$1,000,000.00 ",Peters,
Department of Transportation,Highway Infrastructure Programs,MI,MI,City of Mt. Pleasant Mill and Overlay—Preston and Bradley.,"$500,000.00 ",Slotkin,
Department of Transportation,Highway Infrastructure Programs,MI,MI,Detroit/Wayne County Port Authority—Detroit Windsor Tunnel Roadway Column Rehabilitation and Infrastructure Upgrades.,"$1,613,000.00 ",Slotkin,
Department of Transportation,Highway Infrastructure Programs,MN,MN,City of Bloomington—Normandale Boulevard Sidewalk and Trail Improvements.,"$600,000.00 ",Klobuchar, Smith
Department of Transportation,Highway Infrastructure Programs,MN,MN,City of Saint Paul Reconstruction of Randolph Avenue Bridge.,"$2,102,000.00 ",Klobuchar, Smith
Department of Transportation,Highway Infrastructure Programs,MN,MN,Highway 23 Coalition Willmar Bypass Project.,"$3,000,000.00 ",Klobuchar, Smith
Department of Transportation,Highway Infrastructure Programs,MS,MS,Jackson Multi-use Connection,"$640,000.00 ",Hyde-Smith,
Department of Transportation,Highway Infrastructure Programs,MS,MS,CR 306 Rehabilitation,"$1,048,000.00 ",Hyde-Smith,
Department of Transportation,Highway Infrastructure Programs,MS,MS,Desoto County I–55 Improvements ...,"$2,000,000.00 ",Hyde-Smith,
Department of Transportation,Highway Infrastructure Programs,MS,MS,Jackson County US 90 Improvements,"$2,000,000.00 ",Hyde-Smith,
Department of Transportation,Highway Infrastructure Programs,MS,MS,MS 19 Neshoba County,"$2,000,000.00 ",Hyde-Smith,
Department of Transportation,Highway Infrastructure Programs,MS,MS,Starkville Eastern Connections,"$2,000,000.00 ",Hyde-Smith,
Department of Transportation,Highway Infrastructure Programs,MS,MS,Wright Road Bridge Project,"$3,500,000.00 ",Hyde-Smith,
Department of Transportation,Highway Infrastructure Programs,MS,MS,Deerbrook Road Improvements,"$4,500,000.00 ",Hyde-Smith,
Department of Transportation,Highway Infrastructure Programs,MS,MS,Edwards Street Reconstruction,"$1,000,000.00 ",Hyde-Smith, Wicker
Department of Transportation,Highway Infrastructure Programs,MS,MS,Highway 80 East Widening Project ...,"$1,000,000.00 ",Hyde-Smith, Wicker
Department of Transportation,Highway Infrastructure Programs,MS,MS,Dedeaux Road Widening Project,"$1,500,000.00 ",Hyde-Smith, Wicker
Department of Transportation,Highway Infrastructure Programs,MS,MS,US Highway 80 Improvements,"$1,500,000.00 ",Hyde-Smith, Wicker
Department of Transportation,Highway Infrastructure Programs,MS,MS,Canal Street Bridge Replacement Project.,"$2,000,000.00 ",Hyde-Smith, Wicker
Department of Transportation,Highway Infrastructure Programs,MS,MS,Lake Okhissa Access and Utilities Project.,"$2,000,000.00 ",Hyde-Smith, Wicker
Department of Transportation,Highway Infrastructure Programs,MS,MS,Texas Flat Road Reconstruction,"$2,000,000.00 ",Hyde-Smith, Wicker
Department of Transportation,Highway Infrastructure Programs,MS,MS,Star Landing Road,"$7,000,000.00 ",Hyde-Smith, Wicker
Department of Transportation,Highway Infrastructure Programs,MT,Crow Tribe of Montana,BIA 91 Highway Reconstruction,"$4,000,000.00 ",Sheehy,
Department of Transportation,Highway Infrastructure Programs,MT,MT,Noxon Bridge,"$10,000,000.00 ",Sheehy,
Department of Transportation,Highway Infrastructure Programs,NE,NE,Village of Exeter Paving Project,"$700,000.00 ",Fischer,
Department of Transportation,Highway Infrastructure Programs,NE,NE,Village of Adams Pavement Project,"$880,000.00 ",Fischer,
Department of Transportation,Highway Infrastructure Programs,NE,NE,Brown County Bridge Rehabs and Replacement.,"$897,000.00 ",Fischer,
Department of Transportation,Highway Infrastructure Programs,NE,NE,Stromsburg 9th Street Reconstruction.,"$2,275,000.00 ",Fischer,
Department of Transportation,Highway Infrastructure Programs,NE,NE,Garfield County Asphalt Project,"$3,200,000.00 ",Fischer,
Department of Transportation,Highway Infrastructure Programs,NE,NE,Fairbury Highway 136 Improvements,"$4,000,000.00 ",Fischer,
Department of Transportation,Highway Infrastructure Programs,NE,NE,Gage County Hickory Road Improvements.,"$4,733,000.00 ",Fischer,
Department of Transportation,Highway Infrastructure Programs,NE,NE,Chadron North on Highway 385,"$6,000,000.00 ",Fischer,
Department of Transportation,Highway Infrastructure Programs,NE,NE,Garden County Bridge Replacement,"$5,200,000.00 ",Fischer,
Department of Transportation,Highway Infrastructure Programs,NE,NE,Sheridan County Road Rehabilitation,"$3,434,000.00 ",Fischer,
Department of Transportation,Highway Infrastructure Programs,NE,NE,Omaha Urban Core Renewal,"$3,500,000.00 ",Fischer,
Department of Transportation,Highway Infrastructure Programs,NJ,NJ,County of Atlantic—Intersection Improvements to Wrangleboro Road (CR 575) and Tilton Road (CR 563).,"$350,000.00 ",Booker,
Department of Transportation,Highway Infrastructure Programs,NJ,NJ,County of Cumberland—Extension of Nabb Avenue.,"$1,000,000.00 ",Booker,
Department of Transportation,Highway Infrastructure Programs,NJ,NJ,"County of Middlesex, New Jersey— Veterans Memorial Bridge Safety Enhancements, CR–535.","$1,200,000.00 ",Booker,
Department of Transportation,Highway Infrastructure Programs,NJ,NJ,City of Newark—Safe Gateway Pedestrianization and Safety Improvements Project.,"$1,500,000.00 ",Booker,
Department of Transportation,Highway Infrastructure Programs,NJ,NJ,Pleasantville Pedestrian Bridge,"$1,500,000.00 ",Booker,
Department of Transportation,Highway Infrastructure Programs,NJ,NJ,Hudson County—JFK Boulevard Roadway and Pedestrian Safety Improvements.,"$1,500,000.00 ",Booker, Kim
Department of Transportation,Highway Infrastructure Programs,NM,NM,City of Bloomfield—East Blanco Road.,"$1,210,000.00 ",Heinrich,Lujan
Department of Transportation,Highway Infrastructure Programs,NM,NM,Ports-to-Plains Corridor Interstate Planning—Raton I–27 / I–25— Interchange Alignment Study.,"$1,600,000.00 ",Heinrich,Lujan
Department of Transportation,Highway Infrastructure Programs,NM,Navajo Division of Transportation ....,N321 Environmental Assessment and Roadway Improvements.,"$519,000.00 ",Lujan,
Department of Transportation,Highway Infrastructure Programs,NM,NM,City of Bloomfield—Solar & Electric Vehicle Charging Infrastructure.,"$600,000.00 ",Lujan,
Department of Transportation,Highway Infrastructure Programs,NV,NV,US 50A Fernley Cottonwood Roundabout.,"$2,000,000.00 ",Cortez Masto, Rosen
Department of Transportation,Highway Infrastructure Programs,NV,NV,City of Henderson—Via Nobila Interchange Project.,"$5,000,000.00 ",Cortez Masto, Rosen
Department of Transportation,Highway Infrastructure Programs,NV,NV,Tahoe Transportation District—Sand Harbor Multi-Use Trail Project.,"$5,000,000.00 ",Cortez Masto, Rosen
Department of Transportation,Highway Infrastructure Programs,NY,NY,City of Poughkeepsie—Washington Street Bridge Reconstruction.,"$3,400,000.00 ",Gillibrand,
Department of Transportation,Highway Infrastructure Programs,NY,NY,County of Chautauqua Industrial Development Agency—Ripley Interstate Industrial Park Left-Hand Turn Lane.,"$650,000.00 ",Gillibrand, Schumer
Department of Transportation,Highway Infrastructure Programs,NY,NY,Safe & Accessible Flatbush & Foxhall.,"$1,000,000.00 ",Schumer,
Department of Transportation,Highway Infrastructure Programs,NY,NY,Village of New Square—Road Infrastructure Improvements.,"$1,000,000.00 ",Schumer,
Department of Transportation,Highway Infrastructure Programs,OH,OH,Wooster Beall Avenue Safety Improvement Project.,"$3,750,000.00 ",Husted,
Department of Transportation,Highway Infrastructure Programs,OH,OH,Brice Road Corridor Redevelopment & Multimodal Enhancements.,"$2,000,000.00 ",Moreno,
Department of Transportation,Highway Infrastructure Programs,OK,OK,Oklahoma City Congestion Relief,"$10,000,000.00 ",Mullin,
Department of Transportation,Highway Infrastructure Programs,OK,OK,I–40 Bridge Replacement,"$35,200,000.00 ",Mullin,
Department of Transportation,Highway Infrastructure Programs,OR,OR,Feather Drive Bridge Replacement ...,"$1,787,000.00 ",Merkley, Wyden
Department of Transportation,Highway Infrastructure Programs,PA,PA,Pedestrian Bridges for the Connellsville Urban Passage.,"$500,000.00 ",Fetterman,
Department of Transportation,Highway Infrastructure Programs,PA,PA,Improvements of Falls Creek Streets and Sidewalks.,"$1,150,000.00 ",Fetterman,
Department of Transportation,Highway Infrastructure Programs,PA,PA,Johnstown Dellwood Street Bridge Project.,"$806,000.00 ",McCormick,
Department of Transportation,Highway Infrastructure Programs,PA,PA,Carbon County Bridge Replacement,"$1,119,000.00 ",McCormick,
Department of Transportation,Highway Infrastructure Programs,PA,PA,Country Club Road Bridge Replacement.,"$1,901,000.00 ",McCormick,
Department of Transportation,Highway Infrastructure Programs,RI,RI,Town of Barrington—Massasoit Avenue Sidewalk.,"$800,000.00 ",Reed,
Department of Transportation,Highway Infrastructure Programs,RI,RI,Town of Scituate—Drainage Infrastructure Improvements.,"$970,000.00 ",Reed,
Department of Transportation,Highway Infrastructure Programs,RI,RI,Pell Bridge Ramps Beautification ....,"$1,000,000.00 ",Reed, Whitehouse
Department of Transportation,Highway Infrastructure Programs,RI,RI,Blackstone Bikeway Segment 8B–2,"$2,200,000.00 ",Reed, Whitehouse
Department of Transportation,Highway Infrastructure Programs,RI,RI,City of East Providence—Traffic Signal Improvements.,"$4,200,000.00 ",Reed, Whitehouse
Department of Transportation,Highway Infrastructure Programs,RI,RI,Woonasquatucket River Greenway— Esmond Village Park.,"$4,400,000.00 ",Reed, Whitehouse
Department of Transportation,Highway Infrastructure Programs,SC,SC,Clemson Intersection Improvement Project.,"$4,300,000.00 ",Graham,
Department of Transportation,Highway Infrastructure Programs,SC,SC,Airport Connector Road Project,"$20,500,000.00 ",Graham,
Department of Transportation,Highway Infrastructure Programs,SD,SD,Box Elder Regional Transportation Improvement Project.,"$4,000,000.00 ",Rounds,
Department of Transportation,Highway Infrastructure Programs,SD,SD,SD44 Bridge Replacement and Improvement.,"$25,000,000.00 ",Rounds, Thune
Department of Transportation,Highway Infrastructure Programs,UT,UT,SR–224 Pedestrian Overpass at Kimball Junction.,"$1,396,000.00 ",Curtis,
Department of Transportation,Highway Infrastructure Programs,UT,UT,North Shore Freeway Development ....,"$2,000,000.00 ",Curtis,
Department of Transportation,Highway Infrastructure Programs,VA,VA,Newport News—Citywide Signal System Upgrade.,"$1,000,000.00 ",Kaine, Warner
